epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4305,5.20183,5.28144,4.58218,0,0,0,0,5.14316,4.80587,4.16247,0.0002,0.0002,0.0002
2,86.2174,4.66214,4.06166,4.23412,0,0,0,0,5.16001,4.81277,4.16963,0.000415842,0.000415842,0.000415842
3,127.477,4.22625,3.3192,3.87188,0,0,0,0,5.21086,4.82023,4.19478,0.000627328,0.000627328,0.000627328
4,168.425,3.5675,2.69277,3.44792,0,0,0,0,5.28481,4.73061,4.24049,0.000834458,0.000834458,0.000834458
5,209.372,2.90446,2.28818,2.97528,0,0,0,0,5.35082,4.56524,4.29397,0.00103723,0.00103723,0.00103723
6,250.336,2.68075,2.06815,2.58298,0,0,0,0,5.38278,4.50784,4.32392,0.00123565,0.00123565,0.00123565
7,291.37,2.64655,1.85493,2.43981,0,0,0,0,5.38606,4.58195,4.32919,0.00142971,0.00142971,0.00142971
8,332.254,2.57554,1.8151,2.31531,0,0,0,0,5.33878,4.58972,4.29546,0.00161942,0.00161942,0.00161942
9,373.835,2.36346,1.73387,2.18238,0,0,0,0,5.32128,4.61794,4.27774,0.00180477,0.00180477,0.00180477
10,417.039,2.22487,1.61431,2.0577,0,0,0,0,5.18053,4.6576,4.1821,0.0018218,0.0018218,0.0018218
11,458.619,2.21817,1.50932,1.9701,0.004,0.43636,0.04064,0.00932,3.89112,3.7509,3.54019,0.001802,0.001802,0.001802
12,500.273,2.18737,1.52727,2.05264,0.34116,0.43636,0.32775,0.08554,2.6908,2.49607,2.86968,0.0017822,0.0017822,0.0017822
13,541.861,2.04527,1.46682,1.88466,0.43913,0.4,0.4001,0.13808,2.39091,2.15473,2.55467,0.0017624,0.0017624,0.0017624
14,583.272,2.05538,1.44656,1.93903,0.68911,0.69091,0.74111,0.34226,1.97601,1.61567,2.33938,0.0017426,0.0017426,0.0017426
15,624.669,1.97908,1.43632,1.88615,0.52122,0.6,0.50494,0.179,2.19662,1.87904,2.3604,0.0017228,0.0017228,0.0017228
16,665.334,1.97974,1.35812,1.79907,0.58695,0.63636,0.747,0.35181,2.0961,1.68506,2.29364,0.001703,0.001703,0.001703
17,706.006,1.95748,1.27371,1.69062,0.40417,0.49091,0.388,0.13688,2.19556,2.06855,2.35978,0.0016832,0.0016832,0.0016832
18,746.662,1.92407,1.26595,1.67464,0.62332,0.70909,0.68385,0.29004,1.94529,1.54552,2.17167,0.0016634,0.0016634,0.0016634
19,787.357,1.9055,1.25477,1.6942,0.53569,0.61818,0.58111,0.22087,2.06288,2.06398,2.25506,0.0016436,0.0016436,0.0016436
20,828.009,1.86644,1.2518,1.67751,0.27204,0.38182,0.31124,0.12836,2.03653,2.2143,2.38034,0.0016238,0.0016238,0.0016238
21,868.764,1.8316,1.19548,1.59797,0.48197,0.25455,0.34621,0.14525,2.65986,2.69003,2.63202,0.001604,0.001604,0.001604
22,910.415,1.76915,1.15602,1.59973,0.5903,0.54545,0.57927,0.23786,2.03018,2.149,2.27184,0.0015842,0.0015842,0.0015842
23,952.281,1.81317,1.17723,1.62303,0.63642,0.6,0.70972,0.32998,1.91436,1.66629,2.14424,0.0015644,0.0015644,0.0015644
24,994.196,1.77408,1.14833,1.58681,0.74385,0.63366,0.75721,0.27347,2.24311,1.70792,2.288,0.0015446,0.0015446,0.0015446
25,1036.18,1.75574,1.11345,1.57162,0.66785,0.6581,0.73022,0.29863,1.9796,1.69413,2.15142,0.0015248,0.0015248,0.0015248
26,1078.25,1.70826,1.07842,1.52484,0.67088,0.65455,0.74361,0.37074,1.79122,1.48732,2.06633,0.001505,0.001505,0.001505
27,1120.32,1.76722,1.06634,1.55632,0.87161,0.7407,0.86992,0.4151,1.76252,1.32408,1.9701,0.0014852,0.0014852,0.0014852
28,1162.48,1.71019,1.03277,1.50193,0.51811,0.47273,0.51048,0.21849,2.07422,1.70024,2.20123,0.0014654,0.0014654,0.0014654
29,1204.3,1.76623,1.03718,1.50517,0.40216,0.49091,0.40388,0.16764,2.10407,1.88246,2.22727,0.0014456,0.0014456,0.0014456
30,1245.11,1.73134,1.05713,1.51299,0.79667,0.85487,0.90226,0.45866,1.65951,1.23789,1.84123,0.0014258,0.0014258,0.0014258
31,1285.72,1.69125,1.04155,1.49038,0.81064,0.81818,0.89372,0.41608,1.75368,1.3321,1.98423,0.001406,0.001406,0.001406
32,1326.86,1.70038,1.03951,1.55886,0.86887,0.72293,0.84615,0.40784,1.7681,1.32839,1.96752,0.0013862,0.0013862,0.0013862
33,1367.82,1.69052,1.03371,1.50997,0.51051,0.60686,0.55045,0.27583,1.82346,1.73993,2.11006,0.0013664,0.0013664,0.0013664
34,1408.72,1.70796,1.04516,1.50775,0.79774,0.8,0.82992,0.43027,1.6635,1.21434,1.85971,0.0013466,0.0013466,0.0013466
35,1449.46,1.67913,1.01564,1.49799,0.79077,0.89334,0.91578,0.39283,1.74322,1.43437,1.88268,0.0013268,0.0013268,0.0013268
36,1490.21,1.69123,1.01197,1.50364,0.70728,0.70299,0.77364,0.36047,1.82431,1.41249,1.97521,0.001307,0.001307,0.001307
